iter,k,mse_est,mse_true
440,191,3280.9409286130704,3344.647505618918
441,191,3326.0419142455717,3342.4742596439123
442,191,3341.2852563629845,3340.75361105372
443,151,3364.473419734506,3352.838736674116
444,191,3404.851529772913,3337.195152055838
445,171,3283.227676257033,3342.835868947239
446,101,3381.2737656820414,3365.854749970276
447,181,3376.018693846369,3335.9514515661103
448,141,3294.1964805573007,3348.729832962106
449,191,3338.9971282687566,3333.167450154268
450,91,3352.979582534151,3355.393616125115
451,151,3262.028957261113,3364.5757850293708
452,191,3367.0105522145436,3339.222079021708
453,191,3223.0108697953615,3344.0700539643376
454,191,3251.907497378675,3357.0343267491053
455,141,3418.0969475746283,3331.098335160358
456,131,3267.8257618088437,3356.5767708073163
457,141,3397.8575277573555,3349.278192141204
458,191,3442.9780915473098,3332.689608356776
459,191,3368.0121792896502,3331.1453764922735
460,181,3383.4410351543124,3341.7281473324524
461,141,3440.6989716197127,3343.7566083112556
462,191,3312.389225251048,3337.1260384117713
463,191,3323.2577441953745,3339.193697016504
464,71,3329.139823060074,3386.719307601359
465,191,3388.7945808443224,3334.0558930421066
466,191,3325.5710575575763,3335.514207873443
467,151,3292.8058876015657,3352.301094467544
468,101,3247.978901171232,3356.580836119591
469,151,3416.0029403119192,3346.057223119795
470,181,3351.426304833884,3331.5528484430974
471,171,3310.183316548133,3347.5505401104606
472,191,3443.187834718833,3334.1752563170994
473,91,3410.7576013084413,3358.843589054197
474,191,3510.898727322532,3322.9203243261704
475,161,3314.81698041367,3350.9061522340785
476,141,3380.107270999106,3340.686709535965
477,191,3296.9731883771965,3337.9957723472344
478,181,3299.2392996241115,3343.8485046479623
479,101,3209.0536399132234,3376.774786077585
480,101,3250.796601481832,3368.230552430746
481,191,3371.2037059376185,3336.897927530413
482,191,3280.437579550678,3358.9134200423046
483,191,3393.47438434981,3331.7416615928296
484,191,3380.622535848267,3336.3378476243765
485,191,3482.667201531815,3328.616186591355
486,181,3438.9562724849343,3337.197068078851
487,171,3356.3238765439824,3344.3910212545106
488,191,3420.2638620595535,3336.355791134421
489,191,3275.9005233686926,3345.653808763778
490,191,3414.1252565973887,3344.67691950294
491,161,3391.671737439949,3343.8724272875843
